consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2023-12-01 14:53:26",11384,6569a159661f31.25428346,27,12,genuine,100,99,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:53:11 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:53:15 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:53:22 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:53:25 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:51:42",11383,6569a159661f31.25428346,31,11,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Curiosity Effect",Human,"Fri Dec 01 2023 14:51:14 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:51:18 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:51:33 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:51:41 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:50:14",11382,6569a159661f31.25428346,6,10,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,,","Authority Bias",Human,"Fri Dec 01 2023 14:49:52 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:49:54 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:50:02 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:50:13 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:48:55",11381,6569a159661f31.25428346,9,9,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:48:31 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:48:33 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:48:41 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:48:50 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:47:23",11380,6569a159661f31.25428346,10,8,genuine,100,100,"Read the email and do nothing,","Based upon body of the email,,","Curiosity Effect",Human,"Fri Dec 01 2023 14:47:00 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:47:09 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:47:13 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:47:23 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:46:14",11379,6569a159661f31.25428346,3,7,genuine,100,100,"Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:45:29 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:45:31 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:45:43 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:46:07 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:44:35",11378,6569a159661f31.25428346,8,6,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,,","Hyperbolic Discounting",Human,"Fri Dec 01 2023 14:43:45 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:43:57 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:44:19 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:44:34 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:42:35",11377,6569a159661f31.25428346,5,5,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:42:01 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:42:03 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:42:14 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:42:33 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:41:20",11376,6569a159661f31.25428346,2,4,genuine,51,50,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Recency Effect",Human,"Fri Dec 01 2023 14:40:59 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:41:03 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:40:51 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:41:17 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:40:09",11375,6569a159661f31.25428346,1,3,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:39:41 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:39:43 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:39:57 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:40:05 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:39:12",11374,6569a159661f31.25428346,7,2,genuine,100,100,"Respond to this email,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:38:33 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:38:36 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:38:46 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:39:03 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:37:05",11373,6569a159661f31.25428346,4,1,phishing,0,100,"Delete this email,","Based upon senders email address,,","Halo Effect",Human,"Fri Dec 01 2023 14:36:42 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:36:47 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:36:52 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:37:04 GMT+0530 (India Standard Time)",0,0,"Not used",,
